depth_m,d13C_pl,d18O_pl,age,aragonite,lmc,hmc,int_thick,int_time,sed_rates,ratio_ara-hmc,ratio_lmc-hmc,ratio_lmc-ara,ratio_hmc-ara,ratio_hmc-lmc,ratio_lmc-hmc+ara,d13C_bulk,d18O_bulk,coarse,fine,ratio-fine-coarse,L*,a*,b*,mean,sorting,skewness,kurtosis,sand,mud,ratio-mud-sand,median
0.01,0.633,-1.924,0,,,,5,1.79920794,2.779000631,,,,,,,,,27.98126065,72.01873935,2.573820395,46.2838,0.3491,11.4708,100.2,4.403,-0.255,0.967,0.668,0.332,0.5,121.1
0.06,0.724,-2.673,0.89960397,,,,5,1.79920794,2.779000631,,,,,,,1.010264521,-0.87716688,37.90656416,62.09343584,1.638065523,45.6814,0.4246,11.3536,128,4.428,-0.23,0.99,0.716,0.284,0.4,149.3
0.11,1.182,-2.551,1.79920794,70.05,17.03,12.92,5,1.79920794,2.779000631,5.421826625,1.318111455,0.243112063,0.184439686,0.758661186,0.205254911,1.132130964,-1.946139831,4.485776805,95.51422319,21.29268293,45.983,0.326,12.553,54.37,4.071,0.047,1.006,0.427,0.573,1.34,48.61
0.16,0.999,-2.537,3.59841588,69.52,17.63,12.85,5,1.79920794,2.779000631,5.410116732,1.371984436,0.253596087,0.184838895,0.728871242,0.214034236,1.068053728,-1.792066976,9.399585921,90.60041408,9.63876652,48.3395,-0.0272,12.9316,88.48,4.707,-0.017,0.754,0.555,0.446,0.8,81.62
0.21,1.005,-2.29,5.39762382,68.07,18.97,12.96,5,1.79920794,2.779000631,5.252314815,1.463734568,0.278683708,0.190392243,0.683183975,0.234110823,1.083677204,-1.977233228,27.91018998,72.08981002,2.582920792,47.6438,0.3398,13.2034,110.3,4.461,-0.266,0.773,0.625,0.375,0.6,138.1
0.26,0.973,-2.603,7.19683176,68.8,19.17,12.03,5,1.79920794,2.779000631,5.719035744,1.593516209,0.278633721,0.174854651,0.627543036,0.237164419,1.140593128,-1.833748123,14.47750363,85.52249637,5.90726817,,,,63.42,5.044,-0.027,0.861,0.491,0.509,1.04,60.02
0.31,1.306,-2.554,8.9960397,64.25,18.18,17.57,5,1.79920794,2.779000631,3.656801366,1.03471827,0.282957198,0.273463035,0.966446645,0.222195062,1.109909106,-1.748050843,21.71162171,78.28837829,3.605828221,,,,69.34,5.135,-0.065,0.809,0.517,0.483,0.93,68.05
0.36,1.103,-2.608,10.79524764,63.3,21.94,14.76,5,1.79920794,2.779000631,4.288617886,1.486449864,0.346603476,0.233175355,0.672743847,0.281065847,0.978763504,-1.59451154,27.50397456,72.49602544,2.635838151,48.4584,0.0842,8.5927,90.84,5.085,-0.274,0.781,0.599,0.401,0.67,116.9
0.41,0.883,-2.49,12.59445558,60.33,23.91,15.76,5,1.79920794,2.779000631,3.828045685,1.51713198,0.396320239,0.261229902,0.659138436,0.314233145,0.721979423,-1.421979106,24.80167015,75.19832985,3.031986531,46.9893,0.248,10.6108,89.62,4.85,-0.187,0.768,0.585,0.415,0.71,103.7
0.46,1.035,-1.489,14.39366352,50.21,31.42,18.36,5,1.79920794,2.779000631,2.734749455,1.711328976,0.625771759,0.36566421,0.584341184,0.45821788,0.787999745,-0.20873558,52.96152183,47.03847817,0.888163265,42.8808,0.6708,9.703,122.5,4.218,-0.263,0.994,0.72,0.28,0.39,145.6
0.51,0.755,-0.754,16.19287146,41.49,43,15.51,5,1.79920794,2.779000631,2.675048356,2.7724049,1.036394312,0.373825018,0.360697674,0.754385965,0.593245632,0.068254303,37.83610755,62.16389245,1.642978004,42.286,0.641,10.9643,109,4.226,-0.232,0.948,0.685,0.315,0.46,127.7
0.56,0.614,-0.752,17.9920794,46.29,40.91,12.8,5,1.79920794,2.779000631,3.61640625,3.19609375,0.883776194,0.276517606,0.312881936,0.692333728,0.853004294,-0.009452017,46.6917076,53.3082924,1.141707921,41.4689,0.7984,10.6622,177.5,3.858,-0.469,0.961,0.775,0.225,0.29,258.8
0.61,1.087,-1.076,22.63000313,47.02,37.54,15.44,5,4.63792373,1.078068612,3.045336788,2.43134715,0.798383667,0.328370906,0.411294619,0.601024656,0.933286872,-0.208102804,46.35254045,53.64745955,1.157379057,42.7978,0.6375,10.6802,122.7,4.319,-0.249,0.93,0.708,0.292,0.41,145
0.66,0.916,-1.019,27.52500261,48.52,38,13.48,5,4.89499948,1.021450568,3.599406528,2.818991098,0.783182193,0.277823578,0.354736842,0.612903226,1.17513509,-0.072575606,46.413819,53.586181,1.154530744,43.3703,0.6398,10.5692,150.9,4.266,-0.313,0.924,0.742,0.258,0.35,191.5
0.71,0.958,-1.236,32.42000209,47.365,38.015,14.62,5,4.89499948,1.021450568,3.239740082,2.600205198,0.802596854,0.308666737,0.384585032,0.613293539,0.857028409,-0.276552874,37.67068273,62.32931727,1.654584222,42.3833,0.5721,10.2399,124.8,4.151,-0.262,0.95,0.712,0.288,0.4,149.7
0.76,1.08,-1.042,37.31500157,46.21,38.03,15.76,5,4.89499948,1.021450568,2.932106599,2.413071066,0.822982039,0.34105172,0.414409677,0.613684041,0.596103716,-0.521272995,52.15946844,47.84053156,0.917197452,42.4267,0.4684,9.9598,146.2,4.336,-0.302,0.933,0.734,0.266,0.36,184.7
0.81,1.226,-1.123,42.21000104,57.27,29.85,12.87,5,4.89499947,1.02145057,4.44988345,2.319347319,0.521215296,0.224724987,0.431155779,0.425577417,0.924010381,-0.408723086,37.57030371,62.42969629,1.661676647,40.7647,0.6586,9.9594,127.6,4.141,-0.339,0.932,0.716,0.284,0.4,165.6
0.86,0.759,-1.637,47.10500052,48.18,38.41,13.41,5,4.89499948,1.021450568,3.592841163,2.864280388,0.797218763,0.278331258,0.349127831,0.623640201,0.894127069,-0.396276094,43.21167883,56.78832117,1.314189189,42.1549,0.5811,10.1548,114.1,4.444,-0.204,0.965,0.689,0.311,0.45,130.2
0.91,1.235,-1.145,52,48.87,36.98,14.14,5,4.89499948,1.021450568,3.456152758,2.615275813,0.756701453,0.289339063,0.382368848,0.58689097,0.993064528,-0.502885666,44.0701953,55.9298047,1.269107258,44.4182,0.42,8.7395,102.2,4.723,-0.234,0.92,0.664,0.336,0.51,121.8
