depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
0.01,0.00,8.01,62.06,25.95,11.99,37.37,,,,,,,,0.78,4.54,9.24,14.09,12.53,57.83,39.98,20.55,14.78,22.69,2.01,-1.891,0.263,,,,,,88.41,3.434,-0.052,0.855,84.94
0.06,,8.01,58.84,29.43,11.74,37.53,0.53,2.48,94.1,11.43,0.25,0.04,93.17,3.79,14.3,14.94,14.2,10.11,42.66,,,,,,-1.525,0.769,,,50.6307,0.9927,13.826,,,,,
0.11,,8.01,56.45,31.12,12.43,35.17,,,,,,,,11.11,14.44,12.33,11.9,8.75,40.97,26.86,12.82,10.62,27.69,22.01,-2.421,0.355,0.876174337,-1.027482399,50.7169,0.8432,13.8794,166.7,3.821,-0.456,0.815,245.9
0.16,,8.01,56.35,31.91,11.74,35.08,,,,,,,,17.26,13.54,11.47,11.07,7.82,38.34,,,,,,-2.422,-0.029,0.7617576,-0.7881037,51.2273,0.968,14.3278,,,,,
0.21,,8.01,64.61,23.22,12.17,35.59,,,,,,,,19.49,9.25,8.31,9.25,7.41,46.08,16.7,5.83,4.24,8.98,64.25,-1.562,0.161,1.02663827,-1.700385562,50.2813,0.9946,14.1482,430.4,4.776,-0.622,0.984,834.6
0.26,,8.01,70.91,17.22,11.87,39.72,0.74,3.2,92.45,11.73,0.56,0.08,93.07,3.12,4.63,6.03,9.31,8.77,68.14,,,,,,-1.293,0.796,,,50.0929,0.6184,16.7088,,,,,
0.31,,8.01,71.16,17.23,11.61,36.24,,,,,,,,3.62,3.94,5.46,8.96,9,68.16,55.97,3.28,0.28,14.06,26.41,-1.892,0.723,0.851169889,-1.806193998,50.528,0.5572,16.8842,76.01,5.742,0.277,0.643,48.57
0.36,,8.01,70.62,17.5,11.88,34.37,,,,,,,,6.59,4.74,5.91,8.21,8.11,65.7,,,,,,-1.697,1.201,0.885602876,-1.736083649,52.0983,0.3278,13.308,,,,,
0.41,5.12,8.01,71.06,16.74,12.2,35.01,,,,,,,,3.62,3.77,4.84,7.59,8.69,72.23,54.62,17.04,7.99,12.79,7.56,-2.114,0.459,0.846495202,-1.874214348,51.1249,0.4623,14.6723,64.11,4.242,0.113,0.937,54.37
0.46,,13.39,68.88,18.5,12.62,36.55,0.73,3.19,92.62,11.66,0.5,0.07,92.94,4.68,5.29,6.05,8.83,8.19,66.95,,,,,,-1.534,0.869,,,49.8328,0.3921,13.638,,,,,
